,Team,Team Key,Season,Player,Player Key
368,Atlanta Hawks,ATL,2003-04,Joel Przybilla,/players/p/przybjo01.html
369,Atlanta Hawks,ATL,2003-04,Theo Ratliff,/players/r/ratlith01.html
370,Atlanta Hawks,ATL,2003-04,Željko Rebrača,/players/r/rebraze01.html
371,Atlanta Hawks,ATL,2003-04,Bob Sura,/players/s/surabo01.html
372,Atlanta Hawks,ATL,2003-04,Jason Terry,/players/t/terryja01.html
373,Atlanta Hawks,ATL,2003-04,Jacque Vaughn,/players/v/vaughja01.html
374,Atlanta Hawks,ATL,2003-04,Rasheed Wallace,/players/w/wallara01.html
375,Atlanta Hawks,ATL,2003-04,Terrell Brandon,/players/b/brandte01.html
377,Atlanta Hawks,ATL,2002-03,Shareef Abdur-Rahim,/players/a/abdursh01.html
379,Atlanta Hawks,ATL,2002-03,Chris Crawford,/players/c/crawfch01.html
380,Atlanta Hawks,ATL,2002-03,Emanual Davis,/players/d/davisem01.html
381,Atlanta Hawks,ATL,2002-03,Dan Dickau,/players/d/dickada01.html
382,Atlanta Hawks,ATL,2002-03,Dion Glover,/players/g/glovedi01.html
383,Atlanta Hawks,ATL,2002-03,Darvin Ham,/players/h/hamda01.html
385,Atlanta Hawks,ATL,2002-03,Alan Henderson,/players/h/hendeal01.html
387,Atlanta Hawks,ATL,2002-03,Matt Maloney,/players/m/malonma01.html
389,Atlanta Hawks,ATL,2002-03,Nazr Mohammed,/players/m/mohamna01.html
390,Atlanta Hawks,ATL,2002-03,Mikki Moore,/players/m/mooremi01.html
391,Atlanta Hawks,ATL,2002-03,Ira Newble,/players/n/newblir01.html
392,Atlanta Hawks,ATL,2002-03,Theo Ratliff,/players/r/ratlith01.html
393,Atlanta Hawks,ATL,2002-03,Glenn Robinson,/players/r/robingl01.html
395,Atlanta Hawks,ATL,2002-03,Jason Terry,/players/t/terryja01.html
398,Atlanta Hawks,ATL,2002-03,DerMarr Johnson,/players/j/johnsde03.html
399,Atlanta Hawks,ATL,2001-02,Shareef Abdur-Rahim,/players/a/abdursh01.html
401,Atlanta Hawks,ATL,2001-02,Chris Crawford,/players/c/crawfch01.html
402,Atlanta Hawks,ATL,2001-02,Emanual Davis,/players/d/davisem01.html
403,Atlanta Hawks,ATL,2001-02,Dion Glover,/players/g/glovedi01.html
404,Atlanta Hawks,ATL,2001-02,Alan Henderson,/players/h/hendeal01.html
405,Atlanta Hawks,ATL,2001-02,DerMarr Johnson,/players/j/johnsde03.html
406,Atlanta Hawks,ATL,2001-02,Toni Kukoč,/players/k/kukocto01.html
407,Atlanta Hawks,ATL,2001-02,Nazr Mohammed,/players/m/mohamna01.html
409,Atlanta Hawks,ATL,2001-02,Ira Newble,/players/n/newblir01.html
410,Atlanta Hawks,ATL,2001-02,Theo Ratliff,/players/r/ratlith01.html
411,Atlanta Hawks,ATL,2001-02,Dickey Simpkins,/players/s/simpkdi01.html
412,Atlanta Hawks,ATL,2001-02,Reggie Slater,/players/s/slatere01.html
414,Atlanta Hawks,ATL,2001-02,Mark Strickland,/players/s/stricma01.html
415,Atlanta Hawks,ATL,2001-02,Jason Terry,/players/t/terryja01.html
416,Atlanta Hawks,ATL,2001-02,Jacque Vaughn,/players/v/vaughja01.html
417,Atlanta Hawks,ATL,2001-02,Toni Kukoc,/players/k/kukocto01.html
422,Atlanta Hawks,ATL,2000-01,Chris Crawford,/players/c/crawfch01.html
423,Atlanta Hawks,ATL,2000-01,Dion Glover,/players/g/glovedi01.html
424,Atlanta Hawks,ATL,2000-01,Alan Henderson,/players/h/hendeal01.html
425,Atlanta Hawks,ATL,2000-01,Jim Jackson,/players/j/jacksji01.html
426,Atlanta Hawks,ATL,2000-01,Anthony Johnson,/players/j/johnsan02.html
427,Atlanta Hawks,ATL,2000-01,DerMarr Johnson,/players/j/johnsde03.html
428,Atlanta Hawks,ATL,2000-01,Brevin Knight,/players/k/knighbr01.html
429,Atlanta Hawks,ATL,2000-01,Toni Kukoč,/players/k/kukocto01.html
430,Atlanta Hawks,ATL,2000-01,Matt Maloney,/players/m/malonma01.html
433,Atlanta Hawks,ATL,2000-01,Nazr Mohammed,/players/m/mohamna01.html
435,Atlanta Hawks,ATL,2000-01,Dikembe Mutombo,/players/m/mutomdi01.html
439,Atlanta Hawks,ATL,2000-01,Tony Smith,/players/s/smithto02.html
440,Atlanta Hawks,ATL,2000-01,Jason Terry,/players/t/terryja01.html
441,Atlanta Hawks,ATL,2000-01,Lorenzen Wright,/players/w/wrighlo02.html
445,Atlanta Hawks,ATL,1999-00,Bimbo Coles,/players/c/colesbi01.html
446,Atlanta Hawks,ATL,1999-00,Chris Crawford,/players/c/crawfch01.html
447,Atlanta Hawks,ATL,1999-00,LaPhonso Ellis,/players/e/ellisla01.html
448,Atlanta Hawks,ATL,1999-00,Dion Glover,/players/g/glovedi01.html
449,Atlanta Hawks,ATL,1999-00,Alan Henderson,/players/h/hendeal01.html
450,Atlanta Hawks,ATL,1999-00,Jim Jackson,/players/j/jacksji01.html
451,Atlanta Hawks,ATL,1999-00,Anthony Johnson,/players/j/johnsan02.html
453,Atlanta Hawks,ATL,1999-00,Dikembe Mutombo,/players/m/mutomdi01.html
454,Atlanta Hawks,ATL,1999-00,Isaiah Rider,/players/r/rideris01.html
455,Atlanta Hawks,ATL,1999-00,Jason Terry,/players/t/terryja01.html
